secID,ticker,tradeDate,marketValue,negMarketValue,secShortName,exchangeCD
300391.XSHE,300391,2026-03-26,136631079.0,136631079.0,长药退,XSHE
600355.XSHG,600355,2026-03-26,388750468.0,388750468.0,*ST精伦,XSHG
000638.XSHE,000638,2026-03-26,439055106.0,437305296.0,*ST万方,XSHE
600696.XSHG,600696,2026-03-26,555219204.0,555219204.0,*ST岩石,XSHG
000004.XSHE,000004,2026-03-26,675139530.0,644067780.0,*ST国华,XSHE
605081.XSHG,605081,2026-03-26,841425953.0,841425953.0,*ST太和,XSHG
300029.XSHE,300029,2026-03-26,988497538.0,987776279.0,*ST天龙,XSHE
600608.XSHG,600608,2026-03-26,1003027270.0,971032770.0,*ST沪科,XSHG
600599.XSHG,600599,2026-03-26,1025880000.0,1025880000.0,*ST熊猫,XSHG
300344.XSHE,300344,2026-03-26,1199991155.0,1196789154.0,*ST立方,XSHE
002808.XSHE,002808,2026-03-26,1209600000.0,742526550.0,*ST恒久,XSHE
688701.XSHG,688701,2026-03-26,1278320848.0,1278320848.0,卓锦股份,XSHG
688287.XSHG,688287,2026-03-26,1322740692.0,1322740692.0,*ST观典,XSHG
600421.XSHG,600421,2026-03-26,1375068000.0,1375068000.0,*ST华嵘,XSHG
600243.XSHG,600243,2026-03-26,1382377500.0,1382377500.0,*ST海华,XSHG
600365.XSHG,600365,2026-03-26,1425654200.0,1341659200.0,ST通葡,XSHG
300338.XSHE,300338,2026-03-26,1485685143.0,1289142828.0,ST开元,XSHE
002883.XSHE,002883,2026-03-26,1489738734.0,1462720500.0,中设股份,XSHE
002856.XSHE,002856,2026-03-26,1497912696.0,1371621708.0,美芝股份,XSHE
688296.XSHG,688296,2026-03-26,1498712943.0,1491691548.0,和达科技,XSHG
688217.XSHG,688217,2026-03-26,1520397598.0,1520397598.0,睿昂基因,XSHG
600543.XSHG,600543,2026-03-26,1522108800.0,1522108800.0,莫高股份,XSHG
603789.XSHG,603789,2026-03-26,1527636096.0,1497600000.0,*ST星农,XSHG
301098.XSHE,301098,2026-03-26,1530344192.0,1245414976.0,金埔园林,XSHE
688659.XSHG,688659,2026-03-26,1548800000.0,1548800000.0,元琛科技,XSHG
688184.XSHG,688184,2026-03-26,1574570250.0,994826250.0,ST帕瓦,XSHG
002719.XSHE,002719,2026-03-26,1586410845.0,1474554621.0,麦趣尔,XSHE
300665.XSHE,300665,2026-03-26,1602682524.0,1596278988.0,飞鹿股份,XSHE
603729.XSHG,603729,2026-03-26,1603546840.0,1603546840.0,龙韵股份,XSHG
002211.XSHE,002211,2026-03-26,1608809976.0,1608809976.0,ST宏达,XSHE
002193.XSHE,002193,2026-03-26,1614785252.0,1614775997.0,如意集团,XSHE
002872.XSHE,002872,2026-03-26,1631340000.0,1102529853.0,ST天圣,XSHE
600455.XSHG,600455,2026-03-26,1640147080.0,1640147080.0,博通股份,XSHG
300417.XSHE,300417,2026-03-26,1653781728.0,1076139438.0,南华仪器,XSHE
688671.XSHG,688671,2026-03-26,1677948893.0,1001122527.0,碧兴物联,XSHG
300929.XSHE,300929,2026-03-26,1678089100.0,1609691980.0,华骐环保,XSHE
300621.XSHE,300621,2026-03-26,1689420404.0,1644535480.0,维业股份,XSHE
688004.XSHG,688004,2026-03-26,1695462960.0,1695462960.0,博汇科技,XSHG
600381.XSHG,600381,2026-03-26,1702476030.0,1702476030.0,*ST春天,XSHG
600476.XSHG,600476,2026-03-26,1723449000.0,1723449000.0,湘邮科技,XSHG
688078.XSHG,688078,2026-03-26,1744329490.0,1744329490.0,龙软科技,XSHG
300152.XSHE,300152,2026-03-26,1753488000.0,1753041264.0,ST新动力,XSHE
000929.XSHE,000929,2026-03-26,1757346360.0,1757234732.0,*ST兰黄,XSHE
300313.XSHE,300313,2026-03-26,1757580070.0,1446596024.0,*ST天山,XSHE
688528.XSHG,688528,2026-03-26,1762320000.0,1762320000.0,秦川物联,XSHG
688067.XSHG,688067,2026-03-26,1776160000.0,1776160000.0,爱威科技,XSHG
