symbol,secID,ticker,exchangeCD,secShortName,listDate
sz000001,000001.XSHE,000001,XSHE,平安银行,1991-04-03
sz000002,000002.XSHE,000002,XSHE,万科A,1991-01-29
sz000004,000004.XSHE,000004,XSHE,*ST国华,1990-12-01
sz000006,000006.XSHE,000006,XSHE,深振业A,1992-04-27
sz000007,000007.XSHE,000007,XSHE,全新好,1992-04-13
sz000008,000008.XSHE,000008,XSHE,神州高铁,1992-05-07
sz000009,000009.XSHE,000009,XSHE,中国宝安,1991-06-25
sz000010,000010.XSHE,000010,XSHE,美丽生态,1995-10-27
sz000011,000011.XSHE,000011,XSHE,深物业A,1992-03-30
sz000012,000012.XSHE,000012,XSHE,南玻A,1992-02-28
sz000014,000014.XSHE,000014,XSHE,沙河股份,1992-06-02
sz000016,000016.XSHE,000016,XSHE,深康佳A,1992-03-27
sz000017,000017.XSHE,000017,XSHE,深中华A,1992-03-31
sz000019,000019.XSHE,000019,XSHE,深粮控股,1992-10-12
sz000020,000020.XSHE,000020,XSHE,深华发A,1992-04-28
sz000021,000021.XSHE,000021,XSHE,深科技,1994-02-02
sz000025,000025.XSHE,000025,XSHE,特力A,1993-06-21
sz000026,000026.XSHE,000026,XSHE,飞亚达,1993-06-03
sz000027,000027.XSHE,000027,XSHE,深圳能源,1993-09-03
sz000028,000028.XSHE,000028,XSHE,国药一致,1993-08-09
sz000029,000029.XSHE,000029,XSHE,深深房A,1993-09-15
sz000030,000030.XSHE,000030,XSHE,富奥股份,1993-09-29
sz000031,000031.XSHE,000031,XSHE,大悦城,1993-10-08
sz000032,000032.XSHE,000032,XSHE,深桑达A,1993-10-28
sz000034,000034.XSHE,000034,XSHE,神州数码,1994-05-09
sz000035,000035.XSHE,000035,XSHE,中国天楹,1994-04-08
sz000036,000036.XSHE,000036,XSHE,华联控股,1994-06-17
sz000037,000037.XSHE,000037,XSHE,深南电A,1994-07-01
sz000039,000039.XSHE,000039,XSHE,中集集团,1994-04-08
sz000042,000042.XSHE,000042,XSHE,中洲控股,1994-09-21
sz000045,000045.XSHE,000045,XSHE,深纺织A,1994-08-15
sz000048,000048.XSHE,000048,XSHE,京基智农,1994-11-01
sz000049,000049.XSHE,000049,XSHE,德赛电池,1995-03-20
sz000050,000050.XSHE,000050,XSHE,深天马A,1995-03-15
sz000055,000055.XSHE,000055,XSHE,方大集团,1996-04-15
sz000056,000056.XSHE,000056,XSHE,皇庭国际,1996-07-08
sz000058,000058.XSHE,000058,XSHE,深赛格,1996-12-26
sz000059,000059.XSHE,000059,XSHE,华锦股份,1997-01-30
sz000060,000060.XSHE,000060,XSHE,中金岭南,1997-01-23
sz000061,000061.XSHE,000061,XSHE,农产品,1997-01-10
sz000062,000062.XSHE,000062,XSHE,深圳华强,1997-01-30
sz000063,000063.XSHE,000063,XSHE,中兴通讯,1997-11-18
sz000065,000065.XSHE,000065,XSHE,北方国际,1998-06-05
sz000066,000066.XSHE,000066,XSHE,中国长城,1997-06-26
sz000068,000068.XSHE,000068,XSHE,华控赛格,1997-06-11
sz000069,000069.XSHE,000069,XSHE,华侨城A,1997-09-10
sz000070,000070.XSHE,000070,XSHE,特发信息,2000-05-11
sz000078,000078.XSHE,000078,XSHE,海王生物,1998-12-18
sz000088,000088.XSHE,000088,XSHE,盐田港,1997-07-28
sz000089,000089.XSHE,000089,XSHE,深圳机场,1998-04-20
sz000090,000090.XSHE,000090,XSHE,天健集团,1999-07-21
sz000096,000096.XSHE,000096,XSHE,广聚能源,2000-07-24
sz000099,000099.XSHE,000099,XSHE,中信海直,2000-07-31
sz000100,000100.XSHE,000100,XSHE,TCL科技,2004-01-30
sz000151,000151.XSHE,000151,XSHE,中成股份,2000-09-06
sz000153,000153.XSHE,000153,XSHE,丰原药业,2000-09-20
sz000155,000155.XSHE,000155,XSHE,川能动力,2000-09-26
sz000156,000156.XSHE,000156,XSHE,华数传媒,2000-09-06
sz000157,000157.XSHE,000157,XSHE,中联重科,2000-10-12
sz000158,000158.XSHE,000158,XSHE,常山北明,2000-07-24
sz000159,000159.XSHE,000159,XSHE,国际实业,2000-09-26
sz000166,000166.XSHE,000166,XSHE,申万宏源,2015-01-26
sz000301,000301.XSHE,000301,XSHE,东方盛虹,2000-05-29
sz000333,000333.XSHE,000333,XSHE,美的集团,2013-09-18
sz000338,000338.XSHE,000338,XSHE,潍柴动力,2007-04-30
sz000400,000400.XSHE,000400,XSHE,许继电气,1997-04-18
sz000401,000401.XSHE,000401,XSHE,金隅冀东,1996-06-14
sz000402,000402.XSHE,000402,XSHE,金融街,1996-06-26
sz000403,000403.XSHE,000403,XSHE,派林生物,1996-06-28
sz000404,000404.XSHE,000404,XSHE,长虹华意,1996-06-19
sz000407,000407.XSHE,000407,XSHE,胜利股份,1996-07-03
sz000408,000408.XSHE,000408,XSHE,藏格矿业,1996-06-28
sz000409,000409.XSHE,000409,XSHE,云鼎科技,1996-06-27
sz000410,000410.XSHE,000410,XSHE,沈阳机床,1996-07-18
sz000411,000411.XSHE,000411,XSHE,英特集团,1996-07-16
sz000415,000415.XSHE,000415,XSHE,渤海租赁,1996-07-16
sz000417,000417.XSHE,000417,XSHE,合百集团,1996-08-12
sz000419,000419.XSHE,000419,XSHE,通程控股,1996-08-16
sz000420,000420.XSHE,000420,XSHE,吉林化纤,1996-08-02
sz000421,000421.XSHE,000421,XSHE,南京公用,1996-08-06
sz000422,000422.XSHE,000422,XSHE,湖北宜化,1996-08-15
sz000423,000423.XSHE,000423,XSHE,东阿阿胶,1996-07-29
sz000425,000425.XSHE,000425,XSHE,徐工机械,1996-08-28
sz000426,000426.XSHE,000426,XSHE,兴业银锡,1996-08-28
sz000428,000428.XSHE,000428,XSHE,华天酒店,1996-08-08
sz000429,000429.XSHE,000429,XSHE,粤高速A,1998-02-20
sz000430,000430.XSHE,000430,XSHE,ST张家界,1996-08-29
sz000488,000488.XSHE,000488,XSHE,ST晨鸣,2000-11-20
sz000498,000498.XSHE,000498,XSHE,山东路桥,1997-06-09
sz000501,000501.XSHE,000501,XSHE,武商集团,1992-11-20
sz000503,000503.XSHE,000503,XSHE,国新健康,1992-11-30
sz000504,000504.XSHE,000504,XSHE,*ST生物,1992-12-08
sz000505,000505.XSHE,000505,XSHE,京粮控股,1992-12-21
sz000506,000506.XSHE,000506,XSHE,招金黄金,1993-03-12
sz000507,000507.XSHE,000507,XSHE,珠海港,1993-03-26
sz000509,000509.XSHE,000509,XSHE,华塑控股,1993-05-07
sz000510,000510.XSHE,000510,XSHE,新金路,1993-05-07
sz000513,000513.XSHE,000513,XSHE,丽珠集团,1993-10-28
sz000514,000514.XSHE,000514,XSHE,渝开发,1993-07-12
sz000516,000516.XSHE,000516,XSHE,国际医学,1993-08-09
sz000517,000517.XSHE,000517,XSHE,荣安地产,1993-08-06
sz000518,000518.XSHE,000518,XSHE,*ST四环,1993-09-08
sz000519,000519.XSHE,000519,XSHE,中兵红箭,1993-10-08
sz000520,000520.XSHE,000520,XSHE,凤凰航运,1993-10-25
sz000521,000521.XSHE,000521,XSHE,长虹美菱,1993-10-18
sz000523,000523.XSHE,000523,XSHE,红棉股份,1993-11-08
sz000524,000524.XSHE,000524,XSHE,岭南控股,1993-11-18
sz000525,000525.XSHE,000525,XSHE,红太阳,1993-10-28
sz000526,000526.XSHE,000526,XSHE,学大教育,1993-11-01
sz000528,000528.XSHE,000528,XSHE,柳工,1993-11-18
sz000529,000529.XSHE,000529,XSHE,广弘控股,1993-11-18
sz000530,000530.XSHE,000530,XSHE,冰山冷热,1993-12-08
sz000531,000531.XSHE,000531,XSHE,穗恒运A,1994-01-06
sz000532,000532.XSHE,000532,XSHE,华金资本,1994-01-03
sz000533,000533.XSHE,000533,XSHE,顺钠股份,1994-01-03
sz000534,000534.XSHE,000534,XSHE,万泽股份,1994-01-10
sz000536,000536.XSHE,000536,XSHE,华映科技,1993-11-26
sz000537,000537.XSHE,000537,XSHE,绿发电力,1993-12-10
sz000538,000538.XSHE,000538,XSHE,云南白药,1993-12-15
sz000539,000539.XSHE,000539,XSHE,粤电力A,1993-11-26
sz000541,000541.XSHE,000541,XSHE,佛山照明,1993-11-23
sz000543,000543.XSHE,000543,XSHE,皖能电力,1993-12-20
sz000544,000544.XSHE,000544,XSHE,中原环保,1993-12-08
sz000545,000545.XSHE,000545,XSHE,金浦钛业,1993-12-15
sz000546,000546.XSHE,000546,XSHE,金圆股份,1993-12-15
sz000547,000547.XSHE,000547,XSHE,航天发展,1993-11-30
sz000548,000548.XSHE,000548,XSHE,湖南投资,1993-12-20
sz000550,000550.XSHE,000550,XSHE,江铃汽车,1993-12-01
sz000551,000551.XSHE,000551,XSHE,创元科技,1994-01-06
sz000552,000552.XSHE,000552,XSHE,甘肃能化,1994-01-06
sz000553,000553.XSHE,000553,XSHE,安道麦A,1993-12-03
sz000554,000554.XSHE,000554,XSHE,泰山石油,1993-12-15
sz000555,000555.XSHE,000555,XSHE,神州信息,1994-04-08
sz000557,000557.XSHE,000557,XSHE,西部创业,1994-06-17
sz000558,000558.XSHE,000558,XSHE,天府文旅,1994-05-09
sz000559,000559.XSHE,000559,XSHE,万向钱潮,1994-01-10
sz000560,000560.XSHE,000560,XSHE,我爱我家,1994-02-02
sz000561,000561.XSHE,000561,XSHE,烽火电子,1994-05-09
sz000563,000563.XSHE,000563,XSHE,陕国投A,1994-01-10
sz000564,000564.XSHE,000564,XSHE,供销大集,1994-01-10
sz000565,000565.XSHE,000565,XSHE,渝三峡A,1994-04-08
sz000566,000566.XSHE,000566,XSHE,海南海药,1994-05-25
sz000567,000567.XSHE,000567,XSHE,海德股份,1994-05-25
sz000568,000568.XSHE,000568,XSHE,泸州老窖,1994-05-09
sz000570,000570.XSHE,000570,XSHE,苏常柴A,1994-07-01
sz000571,000571.XSHE,000571,XSHE,新大洲A,1994-05-25
sz000572,000572.XSHE,000572,XSHE,海马汽车,1994-08-08
sz000573,000573.XSHE,000573,XSHE,粤宏远A,1994-08-15
sz000576,000576.XSHE,000576,XSHE,甘化科工,1994-09-07
sz000581,000581.XSHE,000581,XSHE,威孚高科,1998-09-24
sz000582,000582.XSHE,000582,XSHE,北部湾港,1995-11-02
sz000586,000586.XSHE,000586,XSHE,汇源通信,1995-12-20
sz000589,000589.XSHE,000589,XSHE,贵州轮胎,1996-03-08
sz000590,000590.XSHE,000590,XSHE,古汉医药,1996-01-19
sz000591,000591.XSHE,000591,XSHE,太阳能,1996-02-08
sz000592,000592.XSHE,000592,XSHE,平潭发展,1996-03-27
sz000593,000593.XSHE,000593,XSHE,德龙汇能,1996-03-12
sz000595,000595.XSHE,000595,XSHE,*ST宝实,1996-04-19
sz000596,000596.XSHE,000596,XSHE,古井贡酒,1996-09-27
sz000597,000597.XSHE,000597,XSHE,东北制药,1996-05-23
sz000598,000598.XSHE,000598,XSHE,兴蓉环境,1996-05-29
sz000599,000599.XSHE,000599,XSHE,青岛双星,1996-04-30
sz000600,000600.XSHE,000600,XSHE,建投能源,1996-06-06
sz000601,000601.XSHE,000601,XSHE,韶能股份,1996-08-30
